time,Hips,Hips,Spine,Chest,Neck,Head,LeftEye,RightEye,LeftShoulder,LeftUpperArm,LeftLowerArm,LeftHand,RightShoulder,RightUpperArm,RightLowerArm,RightHand,LeftUpperLeg,LeftLowerLeg,LeftFoot,LeftToes,RightUpperLeg,RightLowerLeg,RightFoot,RightToes
0.9998859,-0.067117 1.034987 -0.007428,359.266 340.746 358.921,3.398 4.652 0.855,0.000 0.000 0.000,6.010 17.247 5.602,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,21.816 45.483 83.531,358.656 35.948 358.917,0.000 0.000 0.000,0.000 0.000 0.000,17.079 349.007 287.378,359.085 337.700 0.586,0.000 0.000 0.000,343.834 18.755 6.882,38.860 2.011 1.866,0.000 0.000 0.000,0.000 0.000 0.000,345.751 21.236 10.431,42.800 357.597 357.722,0.000 0.000 0.000,0.000 0.000 0.000
1.033461,-0.067117 1.034987 -0.007428,359.223 340.780 359.206,3.391 5.135 0.943,0.000 0.000 0.000,6.181 16.485 5.449,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,22.050 44.670 83.377,358.658 35.879 358.919,0.000 0.000 0.000,0.000 0.000 0.000,15.792 353.723 290.004,359.037 336.328 0.633,0.000 0.000 0.000,343.871 18.325 6.928,39.172 2.038 1.892,0.000 0.000 0.000,0.000 0.000 0.000,345.787 21.055 10.705,42.876 357.589 357.715,0.000 0.000 0.000,0.000 0.000 0.000
1.066602,-0.067117 1.034987 -0.007428,359.181 340.812 359.483,3.382 5.600 1.029,0.000 0.000 0.000,6.345 15.744 5.298,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,22.275 43.880 83.227,358.659 35.814 358.922,0.000 0.000 0.000,0.000 0.000 0.000,14.085 358.564 292.540,358.982 334.715 0.690,0.000 0.000 0.000,343.903 17.907 6.977,39.480 2.064 1.918,0.000 0.000 0.000,0.000 0.000 0.000,345.822 20.883 10.975,42.948 357.582 357.708,0.000 0.000 0.000,0.000 0.000 0.000
1.099874,-0.067117 1.034987 -0.007428,359.138 340.845 359.761,3.374 6.066 1.114,0.000 0.000 0.000,6.510 14.994 5.144,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,22.499 43.083 83.072,358.661 35.748 358.925,0.000 0.000 0.000,0.000 0.000 0.000,11.909 3.567 294.982,358.918 332.755 0.761,0.000 0.000 0.000,343.932 17.484 7.031,39.796 2.092 1.944,0.000 0.000 0.000,0.000 0.000 0.000,345.857 20.714 11.252,43.019 357.575 357.701,0.000 0.000 0.000,0.000 0.000 0.000
1.133376,-0.064289 1.034987 -0.007428,359.084 340.849 359.796,3.372 6.144 1.128,0.000 0.000 0.000,6.537 15.159 5.594,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,22.807 42.754 83.215,358.656 35.955 358.916,0.000 0.000 0.000,0.000 0.000 0.000,6.677 14.824 299.117,358.680 324.732 1.074,0.000 0.000 0.000,344.786 17.860 6.957,39.196 2.040 1.894,0.000 0.000 0.000,0.000 0.000 0.000,346.187 20.408 11.396,42.641 357.613 357.738,0.000 0.000 0.000,0.000 0.000 0.000
1.166714,-0.061518 1.034987 -0.007428,359.031 340.853 359.830,3.371 6.221 1.142,0.000 0.000 0.000,6.558 15.331 6.034,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.108 42.434 83.353,358.650 36.157 358.908,0.000 0.000 0.000,0.000 0.000 0.000,0.418 25.176 301.980,358.425 313.499 1.561,0.000 0.000 0.000,345.635 18.235 6.893,38.596 1.989 1.845,0.000 0.000 0.000,0.000 0.000 0.000,346.514 20.103 11.536,42.269 357.649 357.774,0.000 0.000 0.000,0.000 0.000 0.000
1.199902,-0.058780 1.034987 -0.007428,358.979 340.857 359.863,3.369 6.295 1.156,0.000 0.000 0.000,6.574 15.510 6.469,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.407 42.122 83.487,358.645 36.356 358.900,0.000 0.000 0.000,0.000 0.000 0.000,354.029 33.890 303.609,358.252 300.115 2.192,0.000 0.000 0.000,346.485 18.610 6.837,37.991 1.939 1.796,0.000 0.000 0.000,0.000 0.000 0.000,346.840 19.797 11.673,41.898 357.685 357.809,0.000 0.000 0.000,0.000 0.000 0.000
1.233338,-0.058780 1.030423 -0.007428,358.744 341.764 0.032,3.359 6.780 1.244,0.000 0.000 0.000,6.027 16.630 5.418,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.366 40.110 82.508,358.672 35.358 358.941,0.000 0.000 0.000,0.000 0.000 0.000,346.829 38.553 304.524,358.252 282.840 3.035,0.000 0.000 0.000,348.244 17.569 6.176,37.103 1.867 1.727,0.000 0.000 0.000,0.000 0.000 0.000,348.351 19.417 11.635,40.645 357.804 357.924,0.000 0.000 0.000,0.000 0.000 0.000
1.266684,-0.058780 1.025932 -0.007428,358.514 342.700 0.197,3.349 7.239 1.328,0.000 0.000 0.000,5.604 17.660 4.349,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.307 38.086 81.542,358.699 34.370 358.980,0.000 0.000 0.000,0.000 0.000 0.000,340.384 41.511 304.763,358.413 270.137 3.635,0.000 0.000 0.000,349.972 16.460 5.507,36.222 1.797 1.660,0.000 0.000 0.000,0.000 0.000 0.000,349.834 19.012 11.608,39.411 357.915 358.033,0.000 0.000 0.000,0.000 0.000 0.000
1.299888,-0.058780 1.021455 -0.007428,358.288 343.662 0.358,3.339 7.669 1.407,0.000 0.000 0.000,5.300 18.586 3.273,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.231 36.055 80.591,358.726 33.397 359.019,0.000 0.000 0.000,0.000 0.000 0.000,334.827 42.923 304.781,358.566 262.762 3.962,0.000 0.000 0.000,351.664 15.287 4.831,35.352 1.731 1.597,0.000 0.000 0.000,0.000 0.000 0.000,351.283 18.583 11.592,38.202 358.019 358.134,0.000 0.000 0.000,0.000 0.000 0.000
1.333377,-0.055965 1.021455 -0.007428,358.121 343.995 0.501,3.326 8.167 1.497,0.000 0.000 0.000,5.597 17.794 2.452,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,23.634 35.026 79.999,358.730 33.249 359.025,0.000 0.000 0.000,0.000 0.000 0.000,329.079 42.234 305.893,358.581 262.099 3.990,0.000 0.000 0.000,351.988 15.602 4.527,35.086 1.711 1.577,0.000 0.000 0.000,0.000 0.000 0.000,351.984 18.337 11.361,37.948 358.040 358.155,0.000 0.000 0.000,0.000 0.000 0.000
1.366553,-0.053230 1.021455 -0.007428,357.959 344.328 0.638,3.313 8.649 1.585,0.000 0.000 0.000,5.884 17.002 1.648,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,24.021 34.014 79.418,358.735 33.101 359.031,0.000 0.000 0.000,0.000 0.000 0.000,323.289 40.682 307.274,358.563 262.891 3.957,0.000 0.000 0.000,352.303 15.889 4.241,34.834 1.692 1.560,0.000 0.000 0.000,0.000 0.000 0.000,352.663 18.083 11.138,37.700 358.061 358.175,0.000 0.000 0.000,0.000 0.000 0.000
1.399896,-0.050444 1.021455 -0.007428,357.797 344.671 0.774,3.299 9.129 1.672,0.000 0.000 0.000,6.169 16.187 0.836,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,24.402 32.986 78.829,358.739 32.949 359.037,0.000 0.000 0.000,0.000 0.000 0.000,317.383 38.071 309.198,358.517 264.890 3.870,0.000 0.000 0.000,352.619 16.160 3.963,34.587 1.674 1.542,0.000 0.000 0.000,0.000 0.000 0.000,353.339 17.815 10.915,37.450 358.082 358.195,0.000 0.000 0.000,0.000 0.000 0.000
1.433365,-0.050444 1.026020 -0.007428,357.484 345.291 0.853,3.319 8.430 1.545,0.000 0.000 0.000,5.777 16.051 1.016,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,0.000 0.000 0.000,24.488 34.007 79.180,358.757 32.344 359.061,0.000 0.000 0.000,0.000 0.000 0.000,310.407 32.576 315.683,358.401 270.830 3.603,0.000 0.000 0.000,352.981 16.557 4.132,34.111 1.639 1.509,0.000 0.000 0.000,0.000 0.000 0.000,353.555 17.135 10.621,37.458 358.081 358.194,0.000 0.000 0.000,0.000 0.000 0.000
